"Locus Tag","Gene Name","Product Description","Strain Name","Accession","GO Term","Namespace","GO Evidence Code","Evidence Ontology ECO Code","Evidence Ontology Term","Similar To \ Binds To","PMID"
"CLM75_RS00035","CLM75_RS00035","ATPase","Pseudomonas lurida MYb11","GO:0007165","signal transduction","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF47384","PMID:24451626"
"CLM75_RS00040","CLM75_RS00040","1-acyl-sn-glycerol-3-phosphate acyltransferase","Pseudomonas lurida MYb11","GO:0016746","transferase activity, transferring acyl groups","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00563","PMID:24451626"
"CLM75_RS00040","CLM75_RS00040","1-acyl-sn-glycerol-3-phosphate acyltransferase","Pseudomonas lurida MYb11","GO:0016746","acyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00563","PMID:24451626"
"CLM75_RS00045","CLM75_RS00045","D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase","Pseudomonas lurida MYb11","GO:0005975","carbohydrate metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF004682","PMID:24451626"
"CLM75_RS00045","CLM75_RS00045","D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase","Pseudomonas lurida MYb11","GO:0016791","phosphatase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF004682","PMID:24451626"
"CLM75_RS00050","CLM75_RS00050","glycine--tRNA ligase subunit beta","Pseudomonas lurida MYb11","GO:0000166","nucleotide binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR30075","PMID:24451626"
"CLM75_RS00050","CLM75_RS00050","glycine--tRNA ligase subunit beta","Pseudomonas lurida MYb11","GO:0004820","glycine-tRNA ligase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR30075","PMID:24451626"
"CLM75_RS00050","CLM75_RS00050","glycine--tRNA ligase subunit beta","Pseudomonas lurida MYb11","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR30075","PMID:24451626"
"CLM75_RS00050","CLM75_RS00050","glycine--tRNA ligase subunit beta","Pseudomonas lurida MYb11","GO:0005737","cytoplasm","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR30075","PMID:24451626"
"CLM75_RS00050","CLM75_RS00050","glycine--tRNA ligase subunit beta","Pseudomonas lurida MYb11","GO:0006426","glycyl-tRNA aminoacylation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR30075","PMID:24451626"
"CLM75_RS00050","CLM75_RS00050","glycine--tRNA ligase subunit beta","Pseudomonas lurida MYb11","GO:0004814","arginine-tRNA ligase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF05746","PMID:24451626"
"CLM75_RS00050","CLM75_RS00050","glycine--tRNA ligase subunit beta","Pseudomonas lurida MYb11","GO:0006420","arginyl-tRNA aminoacylation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF05746","PMID:24451626"
"CLM75_RS00055","glyQ","glycine--tRNA ligase subunit alpha","Pseudomonas lurida MYb11","GO:0000166","nucleotide binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00733","PMID:24451626"
"CLM75_RS00055","glyQ","glycine--tRNA ligase subunit alpha","Pseudomonas lurida MYb11","GO:0004820","glycine-tRNA ligase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00733","PMID:24451626"
"CLM75_RS00055","glyQ","glycine--tRNA ligase subunit alpha","Pseudomonas lurida MYb11","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00733","PMID:24451626"
"CLM75_RS00055","glyQ","glycine--tRNA ligase subunit alpha","Pseudomonas lurida MYb11","GO:0005737","cytoplasm","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00733","PMID:24451626"
"CLM75_RS00055","glyQ","glycine--tRNA ligase subunit alpha","Pseudomonas lurida MYb11","GO:0006426","glycyl-tRNA aminoacylation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00733","PMID:24451626"
"CLM75_RS00060","CLM75_RS00060","DNA-3-methyladenine glycosylase I","Pseudomonas lurida MYb11","GO:0006284","base-excision repair","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00624","PMID:24451626"
"CLM75_RS00060","CLM75_RS00060","DNA-3-methyladenine glycosylase I","Pseudomonas lurida MYb11","GO:0008725","DNA-3-methyladenine glycosylase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00624","PMID:24451626"
"CLM75_RS00060","CLM75_RS00060","DNA-3-methyladenine glycosylase I","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF48150","PMID:24451626"
"CLM75_RS00060","CLM75_RS00060","DNA-3-methyladenine glycosylase I","Pseudomonas lurida MYb11","GO:0006281","DNA repair","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF48150","PMID:24451626"
"CLM75_RS00065","CLM75_RS00065","lipid A biosynthesis lauroyl acyltransferase","Pseudomonas lurida MYb11","GO:0016021","integral component of membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR30606","PMID:24451626"
"CLM75_RS00065","CLM75_RS00065","lipid A biosynthesis lauroyl acyltransferase","Pseudomonas lurida MYb11","GO:0016740","transferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR30606","PMID:24451626"
"CLM75_RS00070","CLM75_RS00070","tetratricopeptide repeat protein","Pseudomonas lurida MYb11","GO:0005515","protein binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00028","PMID:24451626"
"CLM75_RS00075","CLM75_RS00075","Trk system potassium transporter TrkA","Pseudomonas lurida MYb11","GO:0006813","potassium ion transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF116726","PMID:24451626"
"CLM75_RS00075","CLM75_RS00075","Trk system potassium transporter TrkA","Pseudomonas lurida MYb11","GO:0008324","cation transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02080","PMID:24451626"
"CLM75_RS00075","CLM75_RS00075","Trk system potassium transporter TrkA","Pseudomonas lurida MYb11","GO:0005886","plasma membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00335","PMID:24451626"
"CLM75_RS00075","CLM75_RS00075","Trk system potassium transporter TrkA","Pseudomonas lurida MYb11","GO:0015079","potassium ion transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00335","PMID:24451626"
"CLM75_RS00080","CLM75_RS00080","16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB","Pseudomonas lurida MYb11","GO:0003723","RNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01029","PMID:24451626"
"CLM75_RS00080","CLM75_RS00080","16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01029","PMID:24451626"
"CLM75_RS00080","CLM75_RS00080","16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01029","PMID:24451626"
"CLM75_RS00080","CLM75_RS00080","16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB","Pseudomonas lurida MYb11","GO:0008168","methyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01189","PMID:24451626"
"CLM75_RS00080","CLM75_RS00080","16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB","Pseudomonas lurida MYb11","GO:0001510","RNA methylation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR22807","PMID:24451626"
"CLM75_RS00080","CLM75_RS00080","16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB","Pseudomonas lurida MYb11","GO:0006364","rRNA processing","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00563","PMID:24451626"
"CLM75_RS00080","CLM75_RS00080","16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB","Pseudomonas lurida MYb11","GO:0008649","rRNA methyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00563","PMID:24451626"
"CLM75_RS00085","CLM75_RS00085","methionyl-tRNA formyltransferase","Pseudomonas lurida MYb11","GO:0009058","biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02911","PMID:24451626"
"CLM75_RS00085","CLM75_RS00085","methionyl-tRNA formyltransferase","Pseudomonas lurida MYb11","GO:0004479","methionyl-tRNA formyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00182","PMID:24451626"
"CLM75_RS00085","CLM75_RS00085","methionyl-tRNA formyltransferase","Pseudomonas lurida MYb11","GO:0071951","conversion of methionyl-tRNA to N-formyl-methionyl-tRNA","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00182","PMID:24451626"
"CLM75_RS00085","CLM75_RS00085","methionyl-tRNA formyltransferase","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF50486","PMID:24451626"
"CLM75_RS00085","CLM75_RS00085","methionyl-tRNA formyltransferase","Pseudomonas lurida MYb11","GO:0016742","hydroxymethyl-, formyl- and related transferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:3.10.25.10","PMID:24451626"
"CLM75_RS00090","CLM75_RS00090","peptide deformylase","Pseudomonas lurida MYb11","GO:0042586","peptide deformylase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF004749","PMID:24451626"
"CLM75_RS00100","dprA","DNA-protecting protein DprA","Pseudomonas lurida MYb11","GO:0009294","DNA mediated transformation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02481","PMID:24451626"
"CLM75_RS00100","dprA","DNA-protecting protein DprA","Pseudomonas lurida MYb11","GO:0009294","DNA-mediated transformation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02481","PMID:24451626"
"CLM75_RS00105","CLM75_RS00105","Sua5/YciO/YrdC/YwlC family protein","Pseudomonas lurida MYb11","GO:0003725","double-stranded RNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01300","PMID:24451626"
"CLM75_RS00105","CLM75_RS00105","Sua5/YciO/YrdC/YwlC family protein","Pseudomonas lurida MYb11","GO:0002949","tRNA threonylcarbamoyladenosine modification","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR17490:SF8","PMID:24451626"
"CLM75_RS00105","CLM75_RS00105","Sua5/YciO/YrdC/YwlC family protein","Pseudomonas lurida MYb11","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR17490:SF8","PMID:24451626"
"CLM75_RS00110","CLM75_RS00110","quinone oxidoreductase","Pseudomonas lurida MYb11","GO:0016491","oxidoreductase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00829","PMID:24451626"
"CLM75_RS00115","CLM75_RS00115","oxygen-dependent coproporphyrinogen oxidase","Pseudomonas lurida MYb11","GO:0004109","coproporphyrinogen oxidase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01218","PMID:24451626"
"CLM75_RS00115","CLM75_RS00115","oxygen-dependent coproporphyrinogen oxidase","Pseudomonas lurida MYb11","GO:0006779","porphyrin-containing compound biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01218","PMID:24451626"
"CLM75_RS00120","CLM75_RS00120","shikimate dehydrogenase","Pseudomonas lurida MYb11","GO:0004764","shikimate 3-dehydrogenase (NADP+) activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR21089","PMID:24451626"
"CLM75_RS00120","CLM75_RS00120","shikimate dehydrogenase","Pseudomonas lurida MYb11","GO:0019632","shikimate metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00507","PMID:24451626"
"CLM75_RS00120","CLM75_RS00120","shikimate dehydrogenase","Pseudomonas lurida MYb11","GO:0050661","NADP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00507","PMID:24451626"
"CLM75_RS00125","CLM75_RS00125","SulP family inorganic anion transporter","Pseudomonas lurida MYb11","GO:0015301","anion:anion antiporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR11814","PMID:24451626"
"CLM75_RS00125","CLM75_RS00125","SulP family inorganic anion transporter","Pseudomonas lurida MYb11","GO:0015301","obsolete anion:anion antiporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR11814","PMID:24451626"
"CLM75_RS00125","CLM75_RS00125","SulP family inorganic anion transporter","Pseudomonas lurida MYb11","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR11814","PMID:24451626"
"CLM75_RS00125","CLM75_RS00125","SulP family inorganic anion transporter","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR11814","PMID:24451626"
"CLM75_RS00125","CLM75_RS00125","SulP family inorganic anion transporter","Pseudomonas lurida MYb11","GO:0016021","integral component of membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00916","PMID:24451626"
"CLM75_RS00130","CLM75_RS00130","choline ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0015871","choline transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03414","PMID:24451626"
"CLM75_RS00130","CLM75_RS00130","choline ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0033265","choline binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03414","PMID:24451626"
"CLM75_RS00130","CLM75_RS00130","choline ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0042597","periplasmic space","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03414","PMID:24451626"
"CLM75_RS00130","CLM75_RS00130","choline ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"CLM75_RS00130","CLM75_RS00130","choline ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0043190","ATP-binding cassette (ABC) transporter complex","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"CLM75_RS00130","CLM75_RS00130","choline ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"CLM75_RS00135","betC","choline-sulfatase","Pseudomonas lurida MYb11","GO:0008484","sulfuric ester hydrolase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00884","PMID:24451626"
"CLM75_RS00140","CLM75_RS00140","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00039","PMID:24451626"
"CLM75_RS00140","CLM75_RS00140","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00039","PMID:24451626"
"CLM75_RS00140","CLM75_RS00140","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00039","PMID:24451626"
"CLM75_RS00150","CLM75_RS00150","2-dehydro-3-deoxygalactonokinase","Pseudomonas lurida MYb11","GO:0008671","2-dehydro-3-deoxygalactonokinase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF05035","PMID:24451626"
"CLM75_RS00150","CLM75_RS00150","2-dehydro-3-deoxygalactonokinase","Pseudomonas lurida MYb11","GO:0034194","D-galactonate catabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF05035","PMID:24451626"
"CLM75_RS00155","CLM75_RS00155","2-dehydro-3-deoxy-6-phosphogalactonate aldolase","Pseudomonas lurida MYb11","GO:0016829","lyase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00452","PMID:24451626"
"CLM75_RS00160","CLM75_RS00160","galactonate dehydratase","Pseudomonas lurida MYb11","GO:0008869","galactonate dehydratase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SFLDF00003","PMID:24451626"
"CLM75_RS00160","CLM75_RS00160","galactonate dehydratase","Pseudomonas lurida MYb11","GO:0034194","D-galactonate catabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SFLDF00003","PMID:24451626"
"CLM75_RS00165","CLM75_RS00165","MFS transporter","Pseudomonas lurida MYb11","GO:0016021","integral component of membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF002808","PMID:24451626"
"CLM75_RS00165","CLM75_RS00165","MFS transporter","Pseudomonas lurida MYb11","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF002808","PMID:24451626"
"CLM75_RS00165","CLM75_RS00165","MFS transporter","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF002808","PMID:24451626"
"CLM75_RS00175","CLM75_RS00175","tryptophan synthase subunit alpha","Pseudomonas lurida MYb11","GO:0004834","tryptophan synthase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd04724","PMID:24451626"
"CLM75_RS00175","CLM75_RS00175","tryptophan synthase subunit alpha","Pseudomonas lurida MYb11","GO:0006568","tryptophan metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd04724","PMID:24451626"
"CLM75_RS00180","trpB","tryptophan synthase subunit beta","Pseudomonas lurida MYb11","GO:0000162","tryptophan biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF001413","PMID:24451626"
"CLM75_RS00180","trpB","tryptophan synthase subunit beta","Pseudomonas lurida MYb11","GO:0004834","tryptophan synthase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF001413","PMID:24451626"
"CLM75_RS00180","trpB","tryptophan synthase subunit beta","Pseudomonas lurida MYb11","GO:0006568","tryptophan metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd06446","PMID:24451626"
"CLM75_RS00185","CLM75_RS00185","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS00185","CLM75_RS00185","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS00185","CLM75_RS00185","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS00205","CLM75_RS00205","LLM class flavin-dependent oxidoreductase","Pseudomonas lurida MYb11","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00296","PMID:24451626"
"CLM75_RS00210","CLM75_RS00210","OsmC family peroxiredoxin","Pseudomonas lurida MYb11","GO:0004601","peroxidase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03562","PMID:24451626"
"CLM75_RS00210","CLM75_RS00210","OsmC family peroxiredoxin","Pseudomonas lurida MYb11","GO:0006979","response to oxidative stress","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03562","PMID:24451626"
